UUID,IP,NAME
c7aebc3f-1668-4bfc-8655-a7567d28827e,3.25.27.137;10.0.0.30,ec2-3-25-27-137.ap-southeast-2.compute.amazonaws.com;ip-10-0-0-30.ap-southeast-2.compute.internal
b44cf975-6495-4676-8398-dfd5a17b692f,10.0.0.158;54.188.123.102,ec2-54-188-123-102.us-west-2.compute.amazonaws.com;ip-10-0-0-158.us-west-2.compute.internal
e1a3fa04-91d0-4b87-8a99-a3c7910e14cd,10.0.2.87;18.176.208.219,ec2-18-176-208-219.ap-northeast-1.compute.amazonaws.com;ip-10-0-2-87.ap-northeast-1.compute.internal
f269fe01-fdbe-4918-b482-2979851b57df,10.0.0.78;3.110.218.216,ip-10-0-0-78.ap-south-1.compute.internal
6aef6ad6-2ef7-4a7b-80a9-db6bb13841ba,172.31.2.171,ip-172-31-2-171.us-west-1.compute.internal
844eaee2-9dc1-4a63-803e-b278632d7cf7,18.130.238.59;10.0.0.210,ec2-18-130-238-59.eu-west-2.compute.amazonaws.com;ip-10-0-0-210.eu-west-2.compute.internal
a0b57d66-1633-46dc-bf21-a9f7faa8b1b1,54.168.32.152;10.0.2.6,ec2-54-168-32-152.ap-northeast-1.compute.amazonaws.com;ip-10-0-2-6.ap-northeast-1.compute.internal
e3393178-da26-41ab-b355-2d30befac7d0,13.56.60.52;10.0.2.246,ec2-13-56-60-52.us-west-1.compute.amazonaws.com;ip-10-0-2-246.us-west-1.compute.internal
9c12dc8d-4884-4e26-8372-8f7650d7fa41,10.0.0.4;54.206.154.249,ec2-54-206-154-249.ap-southeast-2.compute.amazonaws.com;ip-10-0-0-4.ap-southeast-2.compute.internal
9487379a-38c2-4175-89b0-00a1045c7a15,3.109.20.1;10.0.0.30,ec2-3-109-20-1.ap-south-1.compute.amazonaws.com;ip-10-0-0-30.ap-south-1.compute.internal
59018c5f-fc4d-4c8e-bb17-8032d8ee80b3,10.0.2.246;52.56.45.71,ec2-52-56-45-71.eu-west-2.compute.amazonaws.com;ip-10-0-2-246.eu-west-2.compute.internal
5d625c08-5502-4be4-b671-c41389ee8eda,10.0.2.6;13.40.104.68,ec2-13-40-104-68.eu-west-2.compute.amazonaws.com;ip-10-0-2-6.eu-west-2.compute.internal
f89c91a6-9280-426a-a537-4337c3357486,172.31.10.100,ip-172-31-10-100.us-west-1.compute.internal
41d35357-cb7a-4583-924a-4c368e5de1d6,172.31.5.239,ip-172-31-5-239.us-west-1.compute.internal
3d900f27-a2cc-42a4-921b-9e13319ced36,10.0.2.5,ip-10-0-2-5.eu-west-2.compute.internal
da014b3a-e866-4d6f-97a0-ff84d38b2798,10.0.2.248;18.132.114.63,ec2-18-132-114-63.eu-west-2.compute.amazonaws.com;ip-10-0-2-248.eu-west-2.compute.internal
98ec27ce-bd0d-4729-ada6-a9fff47daa37,10.0.2.5;18.130.222.127,ec2-18-130-222-127.eu-west-2.compute.amazonaws.com;ip-10-0-2-5.eu-west-2.compute.internal
